Date,Ticker,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,Rolling_Std_20,Rolling_Var_20,Rolling_Skew_30,Daily_Return,Cumulative_Return,Peak_Close,Drawdown_Pct,Max_Drawdown_Pct,RSI_14,MACD_Line,MACD_Signal,MACD_Histogram,BB_Upper,BB_Lower,BB_Width,TR,ATR_14,Rolling_Sharpe_60,Corr_vs_AAPL,Return_Z_Score,Anomaly_Signal
2026-01-07,AAPL,184.63,190.13,182.64,186.41,915301,196.947,196.2152,175.487,195.02989968030826,195.90127052809362,5.506943081716815,30.32642210526869,0.1542225636026333,-0.016773036552560794,0.028128619491477602,204.4,-8.801369863013702,-19.218766254030996,36.222480809302084,-0.8713708477853572,0.8297626062740745,-1.7011334540594318,207.96088616343363,185.93311383656638,0.11184619378242497,7.490000000000009,5.600714285714288,1.090177473459174,0.9999999999997178,-0.85948611808223,False
2026-01-08,AAPL,190.49,191.31,188.98,190.75,1410845,196.885,196.06799999999998,175.6387,194.37145357564543,195.51969493342,5.572281494382452,31.05032105263713,0.176333554182104,0.023282012767555482,0.05206552313716739,204.4,-6.678082191780825,-19.218766254030996,43.37767772421773,-1.148241357774566,0.43416181346434646,-1.5824031712389126,208.0295629887649,185.7404370112351,0.11320885784864164,4.900000000000006,5.322857142857144,1.325953997790535,0.9999999999997831,1.2722397393913927,False
2026-01-09,AAPL,186.54,187.38,186.03,187.07,905311,196.722,195.85859999999997,175.76045,193.24815302554615,194.89379160501852,5.816450898325986,33.831101052637166,0.1126696381058889,-0.01929226736566192,0.031768793778610194,204.4,-8.478473581213313,-19.218766254030996,39.34674498705406,-1.6456385794723758,0.018201734877001996,-1.6638403143493778,208.35490179665197,185.08909820334804,0.11826742099665481,4.719999999999999,5.242142857142858,0.8875830604927556,0.9999999999996466,-0.987438729840487,False
2026-01-12,AAPL,187.46,188.34,184.68,186.01,1303629,196.2665,195.653,175.8725,192.134591021616,194.23573296760975,6.286250053636728,39.51693973684777,0.020449242473793962,-0.005666328112471253,0.02592245325685183,204.4,-8.997064579256367,-19.218766254030996,38.24432029948538,-2.10114194599376,-0.4056670012971504,-1.6954749446966095,208.83900010727348,183.69399989272654,0.12811661803999633,3.6599999999999966,5.086428571428572,0.6786917798938662,0.9999999999989778,-0.19226400343682004,False
2026-01-13,AAPL,187.48,187.8,184.07,186.42,1173364,195.773,195.44979999999998,175.99355,191.2554231721366,193.65678978482384,6.6605832682798845,44.36336947368994,0.036237413432641405,0.0022041825708294382,0.028183773647343147,204.4,-8.796477495107641,-19.218766254030996,38.9567474473913,-2.401366612687241,-0.8048069235751685,-1.5965596891120724,209.09416653655975,182.45183346344024,0.1360878827678971,3.730000000000018,4.9371428571428595,-0.17491041734710538,0.9999999999999553,0.2605354592532005,False
2026-01-14,AAPL,189.65,191.22,188.57,190.25,1641012,195.6375,195.1934,176.12939999999998,191.1007426841156,193.404434985948,6.747815923456112,45.53301973684786,0.07415534989691361,0.020545005900654445,0.049307815343885064,204.4,-6.922700587084152,-19.218766254030996,45.304431414924,-2.303692301832399,-1.1045839992266147,-1.1991083026057843,209.13313184691222,182.14186815308776,0.13796569519557583,4.800000000000011,4.958571428571432,0.03773298056102745,0.999999999999721,1.163509834573149,False
2026-01-15,AAPL,186.59,187.15,183.49,186.57,1101090,195.19050000000001,194.96559999999997,176.22895,190.40370534809782,192.89818054254445,7.04621770507939,49.64918394737426,0.07811133747946135,-0.019342969776609764,0.029011085985327867,204.4,-8.723091976516638,-19.218766254030996,40.903250871957376,-2.494475194446636,-1.382562238270619,-1.111912956176017,209.28293541015879,181.09806458984124,0.14439673457631155,6.759999999999991,5.280000000000003,-0.5740189349633446,0.9999999999995358,-0.9384659878922451,False
2026-01-16,AAPL,192.07,193.11,186.43,189.67,1351664,194.603,194.76039999999998,176.3441,190.29082760223662,192.65905605791153,6.9890915756368175,48.84740105263754,0.1427214542713857,0.016615747440638762,0.046108874303677494,204.4,-7.206457925636016,-19.218766254030996,45.68965759125007,-2.3682284556749096,-1.5796954817514772,-0.7885329739234324,208.58118315127365,180.62481684872637,0.143658454918718,6.680000000000007,5.429285714285718,-0.522101818397446,0.999999999999573,1.12931101620751,False
2026-01-19,AAPL,190.12,192.5,188.53,189.77,946123,193.8715,194.64419999999998,176.44115000000002,190.2107002788156,192.44505190547366,6.6679731592619405,44.46186605263766,0.24958110753692797,0.0005272315073550082,0.04666041586233405,204.4,-7.15753424657534,-19.218766254030996,45.84203876161068,-2.2343516266580536,-1.7106267107327926,-0.523724915925261,207.20744631852386,180.53555368147613,0.13757510844578874,3.969999999999999,5.345714285714288,-0.6771532998206333,0.9999999999995569,0.24452334437849255,False
2026-01-20,AAPL,186.17,187.66,184.62,187.28,792780,193.2245,194.50220000000002,176.55579999999998,189.75982331284396,192.06245546803115,6.647309289440344,44.186720789479885,0.2917161032901377,-0.013121146651209448,0.0329270310517884,204.4,-8.375733855185912,-19.218766254030996,42.634348502416756,-2.302632155187183,-1.8290277996236708,-0.4736043555635123,206.5191185788807,179.92988142111932,0.13760800083716804,5.150000000000006,5.252142857142862,-0.8300662335755872,0.9999999999996884,-0.6026624041388879,False
